RecordID,Brainwave,TP9,AF7,AF8,TP10
183,Theta,1.0300685,0.24174626,0.09553431,0.31383893
184,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
185,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
186,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
187,Delta,1.3956935,1.3897784,0.33971676,0.73774594
188,Theta,1.0300685,0.24174626,0.09553431,0.31383893
189,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
190,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
191,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
192,Delta,1.3956935,1.3897784,0.33971676,0.73774594
193,Theta,1.0300685,0.24174626,0.09553431,0.31383893
194,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
195,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
196,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
197,Delta,1.3956935,1.3897784,0.33971676,0.73774594
198,Theta,1.0300685,0.24174626,0.09553431,0.31383893
199,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
200,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
201,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
202,Delta,1.3956935,1.3897784,0.33971676,0.73774594
203,Theta,1.0300685,0.24174626,0.09553431,0.31383893
204,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
205,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
206,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
207,Delta,1.3956935,1.3897784,0.33971676,0.73774594
208,Theta,1.0300685,0.24174626,0.09553431,0.31383893
209,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
210,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
211,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
212,Delta,1.3956935,1.3897784,0.33971676,0.73774594
213,Theta,1.0300685,0.24174626,0.09553431,0.31383893
214,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
215,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
216,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
217,Delta,1.3956935,1.3897784,0.33971676,0.73774594
218,Theta,1.0300685,0.24174626,0.09553431,0.31383893
